Date;Technology Return;Financials Return;Energy Return;Technology Portfolio;Financials Portfolio;Energy Portfolio;Technology Return Weekly
28.07.22;0.003909541;9.06E-05;0.004028855;79.43561996;81.41535925;142.303571;-0.009319909
29.07.22;0.016186052;0.010864524;0.050029536;80.72136902;82.29989838;149.4229526;-0.002610118
30.07.22;0.016186052;0.010864524;0.050029536;80.72136902;82.29989838;149.4229526;0.004099672
31.07.22;0.016186052;0.010864524;0.050029536;80.72136902;82.29989838;149.4229526;0.010809463
01.08.22;-0.006602789;-0.005167231;-0.020700039;80.18838283;81.87463582;146.3298916;0.010736155
02.08.22;-0.006423923;-0.015048524;-0.002473985;79.67325886;80.64254336;145.9678736;0.012770741
03.08.22;0.031655632;0.018738609;-0.030571301;82.19536621;82.15367245;141.5054458;0.010156659
04.08.22;0.004341967;-0.009321085;-0.036093099;82.55225575;81.38791105;136.3980757;0.010218435
05.08.22;-0.004377139;0.017587126;0.01929291;82.19091305;82.81929052;139.0295915;0.007280836
06.08.22;-0.004377139;0.017587126;0.01929291;82.19091305;82.81929052;139.0295915;0.004343237
07.08.22;-0.004377139;0.017587126;0.01929291;82.19091305;82.81929052;139.0295915;0.001405638
08.08.22;-0.002693466;-0.008609228;0.004476803;81.96953459;82.10628034;139.6519996;0.001964113
09.08.22;-0.003587772;0.006512544;0.017265499;81.67544662;82.64100113;142.063161;0.002369278
10.08.22;0.028592743;0.029239992;0.006625093;84.0107717;85.05742334;143.0043426;0.001931722
11.08.22;-0.00592341;0.015204009;0.029071684;83.51314143;86.35063721;147.1617197;0.00046524
12.08.22;0.018378946;0.015604607;0.007779284;85.0480249;87.69810501;148.3065325;0.003716109
13.08.22;0.018378946;0.015604607;0.007779284;85.0480249;87.69810501;148.3065325;0.006966978
14.08.22;0.018378946;0.015604607;0.007779284;85.0480249;87.69810501;148.3065325;0.010217847
15.08.22;0.006997518;5.25E-05;-0.019609951;85.64314997;87.70270945;145.3982487;0.011602274
16.08.22;-0.002423822;0.005433403;-0.005382971;85.43556625;88.17923359;144.6155741;0.011768552
17.08.22;-0.007812527;-0.005251721;0.005129613;84.76809859;87.7161409;145.3573961;0.006567799
18.08.22;0.000376956;-0.001278473;0.025180867;84.80005243;87.60399821;149.0176213;0.007467852
19.08.22;-0.019891407;-0.021699653;0.002895462;83.11326007;85.70302183;149.4490962;0.002000658
20.08.22;-0.019891407;-0.021699653;0.002895462;83.11326007;85.70302183;149.4490962;-0.003466535
21.08.22;-0.019891407;-0.021699653;0.002895462;83.11326007;85.70302183;149.4490962;-0.008933728
22.08.22;-0.025608802;-0.020394213;-0.004580513;80.98482904;83.95517617;148.7645426;-0.013591774
23.08.22;-0.005231718;-0.004362954;0.040626529;80.56113926;83.58888361;154.8083296;-0.013992902
24.08.22;0.001322107;0.004673191;0.009451671;80.66764967;83.97951045;156.2715269;-0.012687954
25.08.22;0.019478056;0.018678815;0.006557541;82.23889867;85.5481482;157.2962839;-0.009959226
26.08.22;-0.042034144;-0.033956516;-0.010839315;78.78205695;82.64323115;155.5913;-0.013122474
27.08.22;-0.042034144;-0.033956516;-0.010839315;78.78205695;82.64323115;155.5913;-0.016285722
28.08.22;-0.042034144;-0.033956516;-0.010839315;78.78205695;82.64323115;155.5913;-0.01944897
29.08.22;-0.011084251;-0.005484464;0.016879661;77.90881689;82.18997733;158.2176284;-0.017374034
30.08.22;-0.009771226;0.001195215;-0.034334052;77.14755223;82.28821205;152.7853762;-0.018022535
31.08.22;-0.002864597;-0.008661777;-0.009406083;76.92655561;81.57544989;151.3482642;-0.018620636
01.09.22;0.006054952;0.001276714;-0.020708656;77.3923422;81.67959838;148.2140451;-0.020538222
02.09.22;-0.016890889;-0.005538944;0.01865643;76.08511677;81.22717964;150.9791901;-0.016946328
03.09.22;-0.016890889;-0.005538944;0.01865643;76.08511677;81.22717964;150.9791901;-0.013354435
